locus_tag	ftype	length_bp	gene	EC_number	COG	product
IKELMNLG_04700	CDS	3555	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
IKELMNLG_04701	CDS	198				hypothetical protein
IKELMNLG_04702	CDS	777				hypothetical protein
IKELMNLG_04703	CDS	900				hypothetical protein
IKELMNLG_04704	CDS	498				hypothetical protein
IKELMNLG_04705	CDS	2040				hypothetical protein
IKELMNLG_04706	CDS	606				hypothetical protein
IKELMNLG_04707	CDS	1533	pknD_17	2.7.11.1		Serine/threonine-protein kinase PknD
IKELMNLG_04708	CDS	648				hypothetical protein
IKELMNLG_04709	CDS	978	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
IKELMNLG_04710	CDS	1302	pikC_4	1.14.15.33		Cytochrome P450 monooxygenase PikC
IKELMNLG_04711	CDS	1026				hypothetical protein
IKELMNLG_04712	CDS	735				hypothetical protein
IKELMNLG_04713	CDS	1281	eno_2	4.2.1.11	COG0148	Enolase
IKELMNLG_04714	CDS	483				hypothetical protein
IKELMNLG_04715	CDS	561				hypothetical protein
IKELMNLG_04716	CDS	942	ppx2	3.6.1.11	COG0248	Exopolyphosphatase 2
IKELMNLG_04717	CDS	1425		1.6.99.-	COG1252	NADH dehydrogenase-like protein
IKELMNLG_04718	CDS	1317		2.1.1.-	COG2230	putative fatty acid methyltransferase
IKELMNLG_04719	CDS	2532				hypothetical protein
IKELMNLG_04720	CDS	771			COG1136	putative ABC transporter ATP-binding protein
IKELMNLG_04721	tRNA	87				tRNA-Leu(taa)
IKELMNLG_04722	CDS	252				hypothetical protein
IKELMNLG_04723	CDS	276				hypothetical protein
IKELMNLG_04724	CDS	780				hypothetical protein
IKELMNLG_04725	CDS	195				hypothetical protein
IKELMNLG_04726	CDS	231				hypothetical protein
IKELMNLG_04727	CDS	1170	praI_1	1.14.13.33		4-hydroxybenzoate 3-monooxygenase (NAD(P)H)
IKELMNLG_04728	CDS	924				hypothetical protein
IKELMNLG_04729	CDS	231				hypothetical protein
IKELMNLG_04730	CDS	282				hypothetical protein
IKELMNLG_04731	CDS	810				hypothetical protein
IKELMNLG_04732	CDS	1221	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
IKELMNLG_04733	CDS	1023				hypothetical protein
IKELMNLG_04734	CDS	1386	cbs	4.2.1.22	COG0031	Putative cystathionine beta-synthase
IKELMNLG_04735	CDS	426				hypothetical protein
IKELMNLG_04736	CDS	870				hypothetical protein
IKELMNLG_04737	CDS	588				hypothetical protein
IKELMNLG_04738	CDS	1719	hutU	4.2.1.49	COG2987	Urocanate hydratase
IKELMNLG_04739	CDS	1203	amaB	3.5.1.87		N-carbamoyl-L-amino acid hydrolase
IKELMNLG_04740	CDS	1350		3.5.4.32	COG0402	8-oxoguanine deaminase
IKELMNLG_04741	CDS	1176	hutI_1	3.5.2.7	COG1228	Imidazolonepropionase
IKELMNLG_04742	CDS	324				hypothetical protein
IKELMNLG_04743	CDS	915	fliA			RNA polymerase sigma factor FliA
IKELMNLG_04744	CDS	378	rsbV_6		COG1366	Anti-sigma-B factor antagonist
IKELMNLG_04745	CDS	513				hypothetical protein
IKELMNLG_04746	CDS	438				hypothetical protein
IKELMNLG_04747	CDS	1497	dtpT		COG3104	Di-/tripeptide transporter
IKELMNLG_04748	CDS	678	regX3_3		COG0745	Sensory transduction protein regX3
IKELMNLG_04749	CDS	1275	sasA_11	2.7.-.-		Adaptive-response sensory-kinase SasA
IKELMNLG_04750	CDS	510				hypothetical protein
IKELMNLG_04751	CDS	1236	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
IKELMNLG_04752	CDS	543	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
IKELMNLG_04753	CDS	1203				hypothetical protein
IKELMNLG_04754	CDS	1131				hypothetical protein
IKELMNLG_04755	CDS	393				hypothetical protein
IKELMNLG_04756	CDS	360				hypothetical protein
IKELMNLG_04757	CDS	507				hypothetical protein
IKELMNLG_04758	CDS	2121				hypothetical protein
IKELMNLG_04759	CDS	1344	rkpK	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
IKELMNLG_04760	CDS	1107		1.3.99.-	COG1960	putative acyl-CoA dehydrogenase fadE25
IKELMNLG_04761	CDS	1041				hypothetical protein
IKELMNLG_04762	CDS	567				hypothetical protein
IKELMNLG_04763	CDS	1284	tagU_3	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
IKELMNLG_04764	CDS	1575	tagU_4	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
IKELMNLG_04765	CDS	1677	tagU_5	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
IKELMNLG_04766	CDS	1707	tagU_6	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
IKELMNLG_04767	CDS	1716	lcpA		COG1316	Cell wall biosynthesis protein LcpA
IKELMNLG_04768	CDS	1734	tagU_7	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
IKELMNLG_04769	CDS	1191	tagU_8	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
IKELMNLG_04770	CDS	765				hypothetical protein
IKELMNLG_04771	CDS	1269				hypothetical protein
IKELMNLG_04772	CDS	1083	cugP_2	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
IKELMNLG_04773	CDS	981				hypothetical protein
IKELMNLG_04774	CDS	1332	fbiB_2		COG0778	Bifunctional F420 biosynthesis protein FbiB
IKELMNLG_04775	CDS	960	fbiA	2.7.8.28	COG0391	Phosphoenolpyruvate transferase
IKELMNLG_04776	CDS	495				hypothetical protein
IKELMNLG_04777	CDS	264	whiB_7			Transcriptional regulator WhiB
IKELMNLG_04778	CDS	3741				hypothetical protein
IKELMNLG_04779	CDS	1521				hypothetical protein
IKELMNLG_04780	CDS	381				hypothetical protein
IKELMNLG_04781	CDS	423				hypothetical protein
IKELMNLG_04782	CDS	1617	lutP		COG1620	L-lactate permease
IKELMNLG_04783	CDS	1365	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
IKELMNLG_04784	CDS	171				hypothetical protein
IKELMNLG_04785	CDS	1128				hypothetical protein
IKELMNLG_04786	CDS	1152	manA_2	5.3.1.8	COG1482	Mannose-6-phosphate isomerase
IKELMNLG_04787	CDS	981	fieF_1			Ferrous-iron efflux pump FieF
IKELMNLG_04788	CDS	1458	ahcY	3.3.1.1	COG0499	Adenosylhomocysteinase
IKELMNLG_04789	CDS	615				hypothetical protein
IKELMNLG_04790	CDS	957				hypothetical protein
IKELMNLG_04791	CDS	1008				hypothetical protein
IKELMNLG_04792	CDS	1311				hypothetical protein
IKELMNLG_04793	CDS	993				hypothetical protein
IKELMNLG_04794	CDS	1218				putative membrane protein
IKELMNLG_04795	CDS	753				hypothetical protein
IKELMNLG_04796	CDS	1389				hypothetical protein
IKELMNLG_04797	CDS	1143	drdI	5.3.1.-		5-deoxyribose 1-phosphate isomerase
IKELMNLG_04798	CDS	678	mtrA		COG0745	DNA-binding response regulator MtrA
IKELMNLG_04799	CDS	2067	sasA_12	2.7.-.-		Adaptive-response sensory-kinase SasA
IKELMNLG_04800	CDS	1803	lpqB			Lipoprotein LpqB
IKELMNLG_04801	CDS	786				hypothetical protein
IKELMNLG_04802	tRNA	80				tRNA-Val(gac)
IKELMNLG_04803	CDS	759	degU_8		COG2197	Transcriptional regulatory protein DegU
IKELMNLG_04804	CDS	1176				hypothetical protein
IKELMNLG_04805	CDS	576	ydaF_3	2.3.1.-	COG1670	Putative ribosomal N-acetyltransferase YdaF
IKELMNLG_04806	CDS	2844	secA			Protein translocase subunit SecA
IKELMNLG_04807	CDS	270				hypothetical protein
IKELMNLG_04808	CDS	243				hypothetical protein
IKELMNLG_04809	CDS	504				hypothetical protein
IKELMNLG_04810	CDS	711	gph_6	3.1.3.18		Phosphoglycolate phosphatase
IKELMNLG_04811	CDS	4962	gdh_2	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
IKELMNLG_04812	CDS	1722				hypothetical protein
IKELMNLG_04813	CDS	2241				hypothetical protein
IKELMNLG_04814	CDS	912	btuD_16	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IKELMNLG_04815	CDS	957				hypothetical protein
IKELMNLG_04816	CDS	633				hypothetical protein
IKELMNLG_04817	CDS	555				hypothetical protein
IKELMNLG_04818	CDS	396				hypothetical protein
IKELMNLG_04819	CDS	789				hypothetical protein
IKELMNLG_04820	CDS	612				hypothetical protein
IKELMNLG_04821	CDS	438				hypothetical protein
IKELMNLG_04822	CDS	981	galE_2	5.1.3.2	COG1087	UDP-glucose 4-epimerase
IKELMNLG_04823	CDS	507				hypothetical protein
IKELMNLG_04824	CDS	414	ohrB_2		COG1764	Organic hydroperoxide resistance protein OhrB
IKELMNLG_04825	CDS	1554				hypothetical protein
IKELMNLG_04826	CDS	1332				hypothetical protein
IKELMNLG_04827	CDS	2238	tagF_1	2.7.8.12	COG1887	Teichoic acid poly(glycerol phosphate) polymerase
IKELMNLG_04828	CDS	2211				hypothetical protein
IKELMNLG_04829	CDS	2298	tagF_2	2.7.8.12	COG1887	Teichoic acid poly(glycerol phosphate) polymerase
IKELMNLG_04830	CDS	918	ngcG_5		COG0395	Diacetylchitobiose uptake system permease protein NgcG
IKELMNLG_04831	CDS	1356				hypothetical protein
IKELMNLG_04832	CDS	1398				hypothetical protein
IKELMNLG_04833	CDS	1200				hypothetical protein
IKELMNLG_04834	CDS	630				hypothetical protein
IKELMNLG_04835	CDS	4038				hypothetical protein
IKELMNLG_04836	CDS	1632	pknD_18	2.7.11.1		Serine/threonine-protein kinase PknD
IKELMNLG_04837	CDS	1254	pknD_19	2.7.11.1		Serine/threonine-protein kinase PknD
IKELMNLG_04838	CDS	1059	prfB		COG1186	Peptide chain release factor 2
IKELMNLG_04839	CDS	792				hypothetical protein
IKELMNLG_04840	CDS	195				hypothetical protein
IKELMNLG_04841	CDS	690	ftsE		COG2884	Cell division ATP-binding protein FtsE
IKELMNLG_04842	CDS	918	ftsX		COG2177	Cell division protein FtsX
IKELMNLG_04843	CDS	1188		3.4.21.-		putative CtpA-like serine protease
IKELMNLG_04844	CDS	480	smpB		COG0691	SsrA-binding protein
IKELMNLG_04845	tmRNA	397	ssrA			transfer-messenger RNA, SsrA
IKELMNLG_04846	CDS	1296				hypothetical protein
IKELMNLG_04847	CDS	972	benM_4			HTH-type transcriptional regulator BenM
IKELMNLG_04848	CDS	1263				hypothetical protein
IKELMNLG_04849	CDS	2205	arnC_4	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
IKELMNLG_04850	CDS	1347				hypothetical protein
IKELMNLG_04851	CDS	948				hypothetical protein
IKELMNLG_04852	CDS	1359	narK		COG2223	Nitrate/nitrite transporter NarK
IKELMNLG_04853	CDS	1188				hypothetical protein
IKELMNLG_04854	CDS	621				hypothetical protein
IKELMNLG_04855	CDS	591				hypothetical protein
IKELMNLG_04856	CDS	525	sigL_1		COG1595	ECF RNA polymerase sigma factor SigL
IKELMNLG_04857	CDS	849				hypothetical protein
IKELMNLG_04858	CDS	2337				hypothetical protein
IKELMNLG_04859	CDS	1416		1.1.1.38		NAD-dependent malic enzyme
IKELMNLG_04860	CDS	282	hup		COG0776	DNA-binding protein HB1
IKELMNLG_04861	CDS	1347	murAA_2	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
IKELMNLG_04862	CDS	582				hypothetical protein
IKELMNLG_04863	CDS	285				hypothetical protein
IKELMNLG_04864	CDS	1299	dasA_4		COG1653	Diacetylchitobiose binding protein DasA
IKELMNLG_04865	CDS	966	dasB_2		COG1175	Diacetylchitobiose uptake system permease protein DasB
IKELMNLG_04866	CDS	846	dasC_4		COG0395	Diacetylchitobiose uptake system permease protein DasC
IKELMNLG_04867	CDS	1638	exoI_1	3.2.1.52	COG3525	Beta-hexosaminidase
IKELMNLG_04868	CDS	921				hypothetical protein
IKELMNLG_04869	CDS	2322				hypothetical protein
IKELMNLG_04870	CDS	2322	pucD_2	1.17.1.4	COG1529	putative xanthine dehydrogenase subunit D
IKELMNLG_04871	CDS	705				hypothetical protein
IKELMNLG_04872	CDS	1011	yajO_6	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
IKELMNLG_04873	tRNA	93				tRNA-Arg(ccg)
IKELMNLG_04874	CDS	1452				hypothetical protein
IKELMNLG_04875	CDS	1797				hypothetical protein
IKELMNLG_04876	CDS	663	kipR_2		COG1414	HTH-type transcriptional regulator KipR
IKELMNLG_04877	CDS	780				hypothetical protein
IKELMNLG_04878	CDS	969	osmX_2		COG1732	Osmoprotectant-binding protein OsmX
IKELMNLG_04879	CDS	873				hypothetical protein
IKELMNLG_04880	CDS	1290	osmV_2	3.6.3.-	COG1125	Osmoprotectant import ATP-binding protein OsmV
IKELMNLG_04881	CDS	648	opuBB		COG1174	Choline transport system permease protein OpuBB
IKELMNLG_04882	CDS	1050				IS200/IS605 family transposase ISNma26
IKELMNLG_04883	CDS	492	asnC_1		COG1522	Regulatory protein AsnC
IKELMNLG_04884	CDS	1146	hpd	1.13.11.27	COG3185	4-hydroxyphenylpyruvate dioxygenase
IKELMNLG_04885	CDS	1428				hypothetical protein
IKELMNLG_04886	CDS	1461		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
IKELMNLG_04887	CDS	429	ssgB_4			Sporulation-specific cell division protein SsgB
IKELMNLG_04888	CDS	1581				hypothetical protein
IKELMNLG_04889	CDS	654				hypothetical protein
IKELMNLG_04890	CDS	294				hypothetical protein
IKELMNLG_04891	CDS	2346	prtV	3.4.24.-		Pre-pro-metalloprotease PrtV
IKELMNLG_04892	CDS	345				hypothetical protein
IKELMNLG_04893	CDS	588	pncA	3.5.1.19	COG1335	Nicotinamidase/pyrazinamidase
IKELMNLG_04894	CDS	1347	pncB1	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB1
IKELMNLG_04895	CDS	318	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
IKELMNLG_04896	CDS	609				hypothetical protein
IKELMNLG_04897	CDS	1428	cycA		COG1113	D-serine/D-alanine/glycine transporter
IKELMNLG_04898	CDS	423	mec	3.13.1.6	COG1310	CysO-cysteine peptidase
IKELMNLG_04899	CDS	279	cysO_2		COG1977	Sulfur carrier protein CysO
IKELMNLG_04900	CDS	951	cysM	2.5.1.113	COG0031	O-phosphoserine sulfhydrylase
IKELMNLG_04901	CDS	753			COG1234	putative protein
IKELMNLG_04902	CDS	1251	nagE2_1		COG1263	PTS system N-acetylglucosamine-specific EIIC component
IKELMNLG_04903	CDS	1296	nagE2_2		COG1263	PTS system N-acetylglucosamine-specific EIIC component
IKELMNLG_04904	CDS	234	nagF	2.7.1.193	COG1264	PTS system N-acetylglucosamine-specific EIIB component
IKELMNLG_04905	CDS	738	rph	2.7.7.56	COG0689	Ribonuclease PH
IKELMNLG_04906	CDS	405				hypothetical protein
IKELMNLG_04907	CDS	603	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
IKELMNLG_04908	tRNA	87				tRNA-Leu(tag)
IKELMNLG_04909	CDS	468	bcp	1.11.1.15	COG1225	Putative peroxiredoxin
IKELMNLG_04910	CDS	333				hypothetical protein
IKELMNLG_04911	CDS	357	groS_2			10 kDa chaperonin
IKELMNLG_04912	CDS	321	gdx_2			Guanidinium exporter
IKELMNLG_04913	CDS	2457	mtgA_2	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
IKELMNLG_04914	CDS	807				hypothetical protein
IKELMNLG_04915	CDS	879				hypothetical protein
IKELMNLG_04916	CDS	1065	btuD_17	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IKELMNLG_04917	CDS	834				hypothetical protein
IKELMNLG_04918	CDS	1365				hypothetical protein
IKELMNLG_04919	CDS	1401				hypothetical protein
IKELMNLG_04920	CDS	1515	ydjE			Inner membrane metabolite transport protein YdjE
IKELMNLG_04921	CDS	360				hypothetical protein
IKELMNLG_04922	CDS	303				hypothetical protein
IKELMNLG_04923	CDS	885	ephA_2	3.3.2.10		Epoxide hydrolase A
IKELMNLG_04924	CDS	474				hypothetical protein
IKELMNLG_04925	CDS	1227	ncsB3_2	1.14.15.31		2-hydroxy-5-methyl-1-naphthoate 7-hydroxylase
IKELMNLG_04926	CDS	1233	pikC_5	1.14.15.33		Cytochrome P450 monooxygenase PikC
IKELMNLG_04927	CDS	639				hypothetical protein
IKELMNLG_04928	CDS	354				hypothetical protein
IKELMNLG_04929	CDS	423				hypothetical protein
IKELMNLG_04930	CDS	1656				hypothetical protein
IKELMNLG_04931	CDS	2544				hypothetical protein
IKELMNLG_04932	CDS	387				hypothetical protein
IKELMNLG_04933	CDS	567				hypothetical protein
IKELMNLG_04934	CDS	441			COG0789	putative HTH-type transcriptional regulator
IKELMNLG_04935	CDS	972				hypothetical protein
IKELMNLG_04936	CDS	522	mshD_4	2.3.1.189		Mycothiol acetyltransferase
IKELMNLG_04937	CDS	1233	pcm_2	2.1.1.77		Protein-L-isoaspartate O-methyltransferase
IKELMNLG_04938	CDS	981				hypothetical protein
IKELMNLG_04939	CDS	306				hypothetical protein
IKELMNLG_04940	CDS	846				hypothetical protein
IKELMNLG_04941	CDS	507				hypothetical protein
IKELMNLG_04942	CDS	228				hypothetical protein
IKELMNLG_04943	CDS	174				hypothetical protein
IKELMNLG_04944	CDS	207				hypothetical protein
IKELMNLG_04945	CDS	843				hypothetical protein
IKELMNLG_04946	CDS	663				hypothetical protein
IKELMNLG_04947	CDS	3168	uvrB_1			UvrABC system protein B
IKELMNLG_04948	CDS	687				hypothetical protein
IKELMNLG_04949	CDS	411				hypothetical protein
IKELMNLG_04950	CDS	378				hypothetical protein
IKELMNLG_04951	CDS	258				hypothetical protein
IKELMNLG_04952	CDS	345				hypothetical protein
IKELMNLG_04953	CDS	459				hypothetical protein
IKELMNLG_04954	CDS	1017				hypothetical protein
IKELMNLG_04955	CDS	1434				hypothetical protein
IKELMNLG_04956	CDS	555				hypothetical protein
IKELMNLG_04957	CDS	312				hypothetical protein
IKELMNLG_04958	CDS	714	yidC_2			Membrane protein insertase YidC
IKELMNLG_04959	CDS	858		4.3.2.3		Ureidoglycolate lyase
IKELMNLG_04960	CDS	873				hypothetical protein
IKELMNLG_04961	CDS	477				hypothetical protein
IKELMNLG_04962	CDS	1083	ydgJ	1.-.-.-	COG0673	putative oxidoreductase YdgJ
IKELMNLG_04963	CDS	1221	nanK_3	2.7.1.60		N-acetylmannosamine kinase
IKELMNLG_04964	CDS	345	phnF		COG2188	HTH-type transcriptional repressor PhnF
IKELMNLG_04965	CDS	96				hypothetical protein
IKELMNLG_04966	CDS	780	hdpA	3.1.3.-		Dihydroxyacetone phosphatase
IKELMNLG_04967	CDS	555				hypothetical protein
IKELMNLG_04968	CDS	741				hypothetical protein
IKELMNLG_04969	CDS	891				hypothetical protein
IKELMNLG_04970	CDS	588				hypothetical protein
IKELMNLG_04971	CDS	1026	cenA	3.2.1.4	COG5297	Endoglucanase A
IKELMNLG_04972	CDS	1938				hypothetical protein
IKELMNLG_04973	CDS	1962				hypothetical protein
IKELMNLG_04974	tRNA	76				tRNA-Lys(ctt)
IKELMNLG_04975	CDS	1062				hypothetical protein
IKELMNLG_04976	CDS	1152				hypothetical protein
IKELMNLG_04977	CDS	606	gbpA_3		COG3397	GlcNAc-binding protein A
IKELMNLG_04978	tRNA	75				tRNA-Lys(ctt)
IKELMNLG_04979	CDS	801				hypothetical protein
IKELMNLG_04980	CDS	786	glnQ_3			Glutamine transport ATP-binding protein GlnQ
IKELMNLG_04981	CDS	651	tcyB		COG0765	L-cystine transport system permease protein TcyB
IKELMNLG_04982	CDS	702	artQ		COG0765	Arginine transport system permease protein ArtQ
IKELMNLG_04983	CDS	930	tcyA		COG0834	L-cystine-binding protein TcyA
IKELMNLG_04984	CDS	504				hypothetical protein
IKELMNLG_04985	CDS	498				hypothetical protein
IKELMNLG_04986	CDS	1404	aam	3.5.1.13	COG0154	Acylamidase
IKELMNLG_04987	CDS	984	ghrA	1.1.1.81		Glyoxylate/hydroxypyruvate reductase A
IKELMNLG_04988	CDS	903	maiA_1	5.2.1.1		Maleate isomerase
IKELMNLG_04989	CDS	732	maiA_2	5.2.1.1		Maleate isomerase
IKELMNLG_04990	tRNA	71				tRNA-Gly(tcc)
IKELMNLG_04991	CDS	1566				hypothetical protein
IKELMNLG_04992	CDS	348				hypothetical protein
IKELMNLG_04993	tRNA	75				tRNA-Lys(ctt)
IKELMNLG_04994	CDS	1263				hypothetical protein
IKELMNLG_04995	CDS	1905				hypothetical protein
IKELMNLG_04996	CDS	1101				hypothetical protein
IKELMNLG_04997	CDS	594				hypothetical protein
IKELMNLG_04998	CDS	858	COQ5_4	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
IKELMNLG_04999	CDS	567	yyaP_4		COG0262	putative protein YyaP
IKELMNLG_05000	CDS	1251	mdtL			Multidrug resistance protein MdtL
IKELMNLG_05001	CDS	327				hypothetical protein
IKELMNLG_05002	CDS	1362				hypothetical protein
IKELMNLG_05003	CDS	1680				hypothetical protein
IKELMNLG_05004	CDS	1029				hypothetical protein
IKELMNLG_05005	CDS	990				hypothetical protein
IKELMNLG_05006	CDS	597	gpm2_3	3.1.3.2	COG0406	Acid phosphatase
IKELMNLG_05007	CDS	1440				hypothetical protein
IKELMNLG_05008	CDS	381				hypothetical protein
IKELMNLG_05009	CDS	870	speE_3	2.5.1.16		Polyamine aminopropyltransferase
IKELMNLG_05010	CDS	582				hypothetical protein
IKELMNLG_05011	CDS	705	mprA_4		COG0745	Response regulator MprA
IKELMNLG_05012	CDS	1413				hypothetical protein
IKELMNLG_05013	CDS	1470				hypothetical protein
IKELMNLG_05014	CDS	1440		3.2.1.21		Bifunctional beta-D-glucosidase/beta-D-fucosidase
IKELMNLG_05015	CDS	912	lacG_2			Lactose transport system permease protein LacG
IKELMNLG_05016	CDS	1014	lacF_3			Lactose transport system permease protein LacF
IKELMNLG_05017	CDS	1326				hypothetical protein
IKELMNLG_05018	CDS	1056	degA_5		COG1609	HTH-type transcriptional regulator DegA
IKELMNLG_05019	tRNA	74				tRNA-His(gtg)
IKELMNLG_05020	CDS	591	orn	3.1.-.-	COG1949	Oligoribonuclease
IKELMNLG_05021	CDS	1197	rhaS_4			HTH-type transcriptional activator RhaS
IKELMNLG_05022	CDS	300				hypothetical protein
IKELMNLG_05023	CDS	528				hypothetical protein
IKELMNLG_05024	CDS	1818	glmS_2	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
IKELMNLG_05025	CDS	258				hypothetical protein
IKELMNLG_05026	CDS	897				hypothetical protein
IKELMNLG_05027	CDS	1608		3.2.1.52	COG3525	Beta-N-acetylhexosaminidase
IKELMNLG_05028	CDS	1788	iucC	6.3.2.39	COG4264	Aerobactin synthase
IKELMNLG_05029	CDS	555				hypothetical protein
IKELMNLG_05030	CDS	1281	iucD_1	1.14.13.59	COG3486	L-lysine N6-monooxygenase
IKELMNLG_05031	CDS	1443	ddc_1	4.1.1.86	COG0076	L-2,4-diaminobutyrate decarboxylase
IKELMNLG_05032	CDS	1047				hypothetical protein
IKELMNLG_05033	CDS	1050				hypothetical protein
IKELMNLG_05034	CDS	1161	mmgC_4	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
IKELMNLG_05035	CDS	954	yngG	4.1.3.4	COG0119	Hydroxymethylglutaryl-CoA lyase YngG
IKELMNLG_05036	CDS	1968	accA1_2		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
IKELMNLG_05037	CDS	1617		2.1.3.1	COG4799	Methylmalonyl-CoA carboxyltransferase 12S subunit
IKELMNLG_05038	CDS	627	mce3R_2			Transcriptional repressor Mce3R
IKELMNLG_05039	CDS	1158	carC_2	1.3.1.108	COG1960	Caffeyl-CoA reductase-Etf complex subunit CarC
IKELMNLG_05040	CDS	873	tesB_1	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
IKELMNLG_05041	CDS	981	fieF_2		COG0053	Ferrous-iron efflux pump FieF
IKELMNLG_05042	CDS	789		3.1.3.-		putative phosphatase
IKELMNLG_05043	CDS	969	gbh	3.5.3.7		Guanidinobutyrase
IKELMNLG_05044	CDS	1695	ilvB	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
IKELMNLG_05045	CDS	420				hypothetical protein
IKELMNLG_05046	CDS	2232				hypothetical protein
IKELMNLG_05047	CDS	861	bsn	3.1.-.-	COG2356	Extracellular ribonuclease
IKELMNLG_05048	CDS	372				hypothetical protein
IKELMNLG_05049	CDS	1011				hypothetical protein
IKELMNLG_05050	CDS	3732		3.6.3.-		Multidrug efflux ATP-binding/permease protein
IKELMNLG_05051	CDS	393				hypothetical protein
IKELMNLG_05052	CDS	1425	ptp	3.4.11.-		Prolyl tri/tetrapeptidyl aminopeptidase
IKELMNLG_05053	CDS	651				hypothetical protein
IKELMNLG_05054	CDS	1218				IS110 family transposase IS110
IKELMNLG_05055	CDS	1848	nagZ_5	3.2.1.52	COG1472	Beta-hexosaminidase
IKELMNLG_05056	tRNA	85				tRNA-Gly(acc)
IKELMNLG_05057	CDS	936	eamA		COG0697	putative amino-acid metabolite efflux pump
IKELMNLG_05058	CDS	663				hypothetical protein
IKELMNLG_05059	CDS	801				hypothetical protein
IKELMNLG_05060	CDS	1047	galS		COG1609	HTH-type transcriptional regulator GalS
IKELMNLG_05061	CDS	1152	xdh	1.1.1.179		D-xylose dehydrogenase
IKELMNLG_05062	CDS	1167				hypothetical protein
IKELMNLG_05063	CDS	864				hypothetical protein
IKELMNLG_05064	CDS	390	rbsD	5.4.99.62	COG1869	D-ribose pyranase
IKELMNLG_05065	CDS	921	rbsK	2.7.1.15		Ribokinase
IKELMNLG_05066	CDS	1956	purR_1			HTH-type transcriptional repressor PurR
IKELMNLG_05067	CDS	1554	mglA_2	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
IKELMNLG_05068	CDS	1044	cytR_4		COG1609	HTH-type transcriptional repressor CytR
IKELMNLG_05069	CDS	351				hypothetical protein
IKELMNLG_05070	CDS	486				hypothetical protein
IKELMNLG_05071	CDS	948	sigJ_6			ECF RNA polymerase sigma factor SigJ
IKELMNLG_05072	CDS	510				hypothetical protein
IKELMNLG_05073	CDS	300				hypothetical protein
IKELMNLG_05074	CDS	189				hypothetical protein
IKELMNLG_05075	CDS	198				hypothetical protein
IKELMNLG_05076	CDS	2262	recD2_1	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
IKELMNLG_05077	CDS	1302	gltA2	2.3.3.16	COG0372	Citrate synthase 1
IKELMNLG_05078	CDS	483				hypothetical protein
IKELMNLG_05079	CDS	1038				hypothetical protein
IKELMNLG_05080	CDS	840	azoB_4	1.7.-.-		NAD(P)H azoreductase
IKELMNLG_05081	CDS	600				hypothetical protein
IKELMNLG_05082	CDS	2283	ctpA_1	7.2.2.8	COG2217	Copper-exporting P-type ATPase
IKELMNLG_05083	CDS	243				hypothetical protein
IKELMNLG_05084	CDS	600	speG	2.3.1.57	COG1670	Spermidine N(1)-acetyltransferase
IKELMNLG_05085	CDS	192				hypothetical protein
IKELMNLG_05086	CDS	378				hypothetical protein
IKELMNLG_05087	CDS	1503	bauC	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
IKELMNLG_05088	CDS	858				hypothetical protein
IKELMNLG_05089	CDS	1431	yhdG_3		COG0531	putative amino acid permease YhdG
